major_name,major_id
African and African American Studies,1
American Studies,2
Art History,3
Studio Art,4
Asian Studies,5
Biology,6
Biochemistry,7
Chemistry,8
Chinese,9
Cinema and Media Studies,10
Classical Languages,11
Classical Studies,12
Classics,13
Cognitive Studies and Science,14
Computer Science,15
Dance,16
Economics,17
English,18
Environmental Studies,19
French,20
French and Francophone Studies,21
Geology,22
German,23
Greek,24
History,25
Interdisciplinary and Student Designed,26
Japanese,27
Latin,28
Latin American Studies,29
Linguistics,30
Mathematics,31
Mathematics and Statistics,32
Media Studies,33
Music,34
Neuroscience,35
Philosophy,36
Physics and Astronomy,37
Political Science,38
Political Science and International Relations,39
Psychology,40
Religion,41
Romance Languages and Literature,42
Russian,43
Sociology and Anthropology,44
Spanish,45
Theater Arts,46
Women and Gender Studies,47
Women Studies,48
