year,major_id,male_count,female_count
2001,1,0,1
2001,2,2,5
2001,3,1,8
2001,4,2,17
2001,5,1,2
2001,6,22,31
2001,7,0,1
2001,8,9,7
2001,9,0,0
2001,10,0,0
2001,11,1,1
2001,12,0,0
2001,13,0,0
2001,14,0,0
2001,15,20,0
2001,16,0,0
2001,17,20,10
2001,18,17,17
2001,19,0,0
2001,20,0,2
2001,21,2,4
2001,22,15,13
2001,23,0,2
2001,24,0,0
2001,25,22,13
2001,26,0,3
2001,27,0,1
2001,28,0,0
2001,29,4,4
2001,30,0,0
2001,31,6,9
2001,32,0,0
2001,33,5,2
2001,34,2,3
2001,35,1,0
2001,36,5,2
2001,37,8,8
2001,38,10,13
2001,39,20,15
2001,40,13,15
2001,41,7,7
2001,42,0,1
2001,43,1,1
2001,44,7,4
2001,45,2,3
2001,46,0,1
2001,47,0,0
2001,48,0,4
2002,1,0,1
2002,2,4,10
2002,3,2,9
2002,4,10,12
2002,5,0,2
2002,6,22,42
2002,7,0,0
2002,8,12,10
2002,9,0,0
2002,10,0,0
2002,11,2,0
2002,12,1,0
2002,13,0,0
2002,14,0,1
2002,15,11,3
2002,16,0,0
2002,17,20,8
2002,18,18,17
2002,19,0,0
2002,20,1,5
2002,21,0,3
2002,22,9,9
2002,23,0,2
2002,24,0,0
2002,25,19,19
2002,26,1,0
2002,27,1,0
2002,28,0,0
2002,29,1,6
2002,30,1,0
2002,31,13,12
2002,32,0,0
2002,33,4,4
2002,34,8,10
2002,35,2,1
2002,36,6,5
2002,37,18,6
2002,38,13,14
2002,39,11,6
2002,40,8,26
2002,41,7,7
2002,42,0,0
2002,43,2,1
2002,44,4,15
2002,45,1,5
2002,46,4,3
2002,47,1,1
2002,48,0,3
2003,1,0,0
2003,2,6,6
2003,3,2,12
2003,4,4,13
2003,5,1,1
2003,6,19,36
2003,7,0,0
2003,8,4,6
2003,9,1,0
2003,10,0,0
2003,11,2,1
2003,12,0,2
2003,13,0,0
2003,14,1,0
2003,15,25,2
2003,16,0,0
2003,17,20,11
2003,18,15,24
2003,19,0,0
2003,20,1,4
2003,21,1,3
2003,22,7,7
2003,23,2,2
2003,24,1,0
2003,25,18,17
2003,26,2,1
2003,27,0,2
2003,28,0,0
2003,29,0,2
2003,30,0,0
2003,31,14,6
2003,32,0,0
2003,33,0,0
2003,34,4,3
2003,35,3,1
2003,36,6,2
2003,37,17,2
2003,38,9,17
2003,39,12,8
2003,40,9,17
2003,41,6,7
2003,42,0,0
2003,43,0,1
2003,44,3,11
2003,45,0,4
2003,46,1,0
2003,47,1,4
2003,48,0,0
2004,1,0,2
2004,2,4,1
2004,3,3,12
2004,4,9,17
2004,5,0,2
2004,6,18,29
2004,7,0,0
2004,8,14,11
2004,9,2,3
2004,10,0,0
2004,11,2,2
2004,12,0,1
2004,13,0,0
2004,14,0,1
2004,15,18,6
2004,16,0,1
2004,17,32,16
2004,18,20,23
2004,19,0,0
2004,20,1,2
2004,21,0,2
2004,22,6,13
2004,23,0,2
2004,24,0,0
2004,25,16,23
2004,26,1,1
2004,27,0,1
2004,28,0,0
2004,29,0,0
2004,30,0,0
2004,31,6,8
2004,32,0,0
2004,33,0,0
2004,34,5,1
2004,35,1,3
2004,36,3,2
2004,37,10,5
2004,38,12,10
2004,39,19,6
2004,40,11,18
2004,41,3,5
2004,42,0,1
2004,43,1,2
2004,44,5,12
2004,45,2,5
2004,46,2,4
2004,47,0,3
2004,48,0,0
2005,1,0,0
2005,2,7,18
2005,3,1,10
2005,4,7,18
2005,5,1,1
2005,6,31,30
2005,7,0,0
2005,8,11,9
2005,9,4,0
2005,10,0,0
2005,11,3,1
2005,12,1,3
2005,13,0,0
2005,14,1,3
2005,15,12,1
2005,16,0,0
2005,17,32,17
2005,18,18,15
2005,19,0,0
2005,20,1,2
2005,21,0,3
2005,22,3,8
2005,23,1,4
2005,24,0,0
2005,25,14,14
2005,26,1,1
2005,27,3,1
2005,28,1,0
2005,29,0,1
2005,30,0,0
2005,31,10,6
2005,32,0,0
2005,33,0,0
2005,34,3,3
2005,35,0,2
2005,36,10,2
2005,37,9,2
2005,38,14,14
2005,39,26,20
2005,40,6,35
2005,41,10,5
2005,42,0,0
2005,43,1,4
2005,44,8,13
2005,45,2,3
2005,46,1,1
2005,47,0,2
2005,48,0,0
2006,1,0,1
2006,2,6,10
2006,3,1,8
2006,4,6,14
2006,5,1,1
2006,6,16,36
2006,7,0,0
2006,8,16,17
2006,9,1,1
2006,10,0,0
2006,11,1,2
2006,12,1,0
2006,13,0,0
2006,14,0,3
2006,15,7,1
2006,16,1,0
2006,17,36,12
2006,18,18,27
2006,19,0,0
2006,20,0,0
2006,21,0,3
2006,22,5,6
2006,23,0,2
2006,24,0,0
2006,25,15,14
2006,26,1,0
2006,27,4,4
2006,28,2,0
2006,29,1,1
2006,30,0,0
2006,31,17,7
2006,32,0,0
2006,33,0,0
2006,34,1,3
2006,35,2,1
2006,36,9,3
2006,37,14,5
2006,38,6,10
2006,39,23,24
2006,40,12,27
2006,41,4,4
2006,42,0,0
2006,43,1,0
2006,44,9,7
2006,45,0,5
2006,46,1,2
2006,47,0,0
2006,48,0,0
2007,1,0,2
2007,2,6,8
2007,3,3,11
2007,4,4,14
2007,5,0,2
2007,6,19,31
2007,7,0,0
2007,8,16,11
2007,9,0,1
2007,10,0,0
2007,11,1,5
2007,12,1,0
2007,13,0,0
2007,14,3,2
2007,15,15,3
2007,16,0,0
2007,17,28,16
2007,18,12,21
2007,19,0,0
2007,20,0,1
2007,21,0,6
2007,22,14,11
2007,23,1,1
2007,24,0,0
2007,25,13,19
2007,26,2,1
2007,27,1,1
2007,28,0,0
2007,29,0,0
2007,30,0,0
2007,31,18,6
2007,32,0,0
2007,33,0,0
2007,34,1,3
2007,35,0,4
2007,36,7,4
2007,37,17,7
2007,38,17,5
2007,39,27,14
2007,40,7,11
2007,41,5,4
2007,42,0,1
2007,43,2,2
2007,44,6,11
2007,45,2,2
2007,46,0,3
2007,47,0,0
2007,48,0,0
2008,1,1,0
2008,2,4,8
2008,3,2,3
2008,4,7,10
2008,5,0,1
2008,6,22,36
2008,7,0,0
2008,8,14,10
2008,9,3,0
2008,10,2,2
2008,11,2,1
2008,12,0,0
2008,13,0,0
2008,14,1,3
2008,15,10,3
2008,16,0,0
2008,17,36,10
2008,18,12,24
2008,19,0,0
2008,20,0,0
2008,21,0,2
2008,22,11,10
2008,23,0,1
2008,24,0,0
2008,25,21,20
2008,26,1,2
2008,27,0,2
2008,28,0,0
2008,29,0,4
2008,30,0,0
2008,31,9,8
2008,32,0,0
2008,33,0,0
2008,34,4,2
2008,35,0,0
2008,36,6,5
2008,37,13,3
2008,38,7,9
2008,39,21,26
2008,40,11,28
2008,41,3,6
2008,42,0,1
2008,43,2,1
2008,44,5,16
2008,45,0,3
2008,46,1,2
2008,47,0,1
2008,48,0,0
2009,1,0,2
2009,2,4,9
2009,3,2,8
2009,4,2,14
2009,5,0,1
2009,6,22,44
2009,7,0,0
2009,8,17,18
2009,9,2,0
2009,10,4,2
2009,11,2,0
2009,12,0,0
2009,13,0,0
2009,14,0,1
2009,15,16,4
2009,16,0,0
2009,17,37,15
2009,18,10,32
2009,19,0,0
2009,20,0,0
2009,21,0,3
2009,22,6,8
2009,23,0,0
2009,24,0,0
2009,25,25,17
2009,26,0,1
2009,27,0,3
2009,28,0,0
2009,29,1,0
2009,30,2,2
2009,31,20,7
2009,32,0,0
2009,33,0,0
2009,34,4,2
2009,35,0,0
2009,36,9,4
2009,37,19,6
2009,38,12,10
2009,39,17,11
2009,40,8,28
2009,41,7,13
2009,42,0,3
2009,43,2,0
2009,44,3,17
2009,45,0,4
2009,46,0,1
2009,47,0,2
2009,48,0,0
2010,1,1,0
2010,2,3,5
2010,3,0,6
2010,4,8,15
2010,5,1,1
2010,6,18,43
2010,7,0,0
2010,8,15,15
